Object Tracking Data File Wed, Jan 15, 2020 10:28 AM
X (pixels)  	Y (pixels)  
941.65	246.41
942.29	244.95
942.06	242.74
942.25	244.23
940.19	245.99
943.73	243.87
944.95	245.25
946.43	243.52
950.01	239.82
946.77	239.64
947.83	238.24
943.89	242.52
947.16	247.45
953.10	248.90
946.81	248.22
947.45	249.17
953.96	254.16
957.72	251.58
959.68	248.28
957.90	250.20
962.80	246.45
957.21	243.56
956.40	241.05
965.61	245.72
963.88	242.34
957.19	235.06
957.03	226.84
958.88	230.75
963.37	220.39
962.73	223.68
963.87	222.33
959.41	220.57
959.18	217.78
962.70	218.57
957.98	215.27
958.74	217.65
958.94	218.00
954.52	218.18
952.88	218.58
955.58	219.95
955.58	222.35
956.99	228.92
950.35	227.20
945.42	224.13
944.72	224.52
942.73	223.32
939.44	223.10
933.48	216.45
934.85	216.79
933.19	214.58
924.23	209.78
924.61	209.30
929.24	210.46
925.83	212.12
933.13	211.11
930.07	206.10
929.32	201.25
925.39	204.24
920.82	205.36
918.78	200.84
916.20	199.09
910.29	200.92
909.22	205.86
904.52	206.10
905.24	200.60
904.78	204.93
900.98	202.85
901.25	199.59
900.78	202.67
902.05	204.61
901.39	202.55
901.27	199.70
897.39	197.72
895.90	200.75
894.79	203.50
893.78	207.31
896.14	210.57
894.34	207.28
893.19	208.12
891.69	206.26
892.83	203.58
890.55	201.01
892.69	204.91
890.20	204.72
891.32	201.64
887.93	203.16
893.89	202.76
890.77	205.70
887.23	204.27
893.90	206.45
894.64	206.16
891.08	204.92
887.16	208.05
885.04	212.41
886.20	209.39
879.91	213.34
877.59	211.65
873.85	213.25
875.85	208.98
877.13	207.05
872.12	205.92
877.60	202.66
877.66	206.50
871.65	206.00
874.43	206.83
876.24	209.06
882.62	208.88
880.30	206.41
881.41	207.81
885.60	210.08
881.04	218.14
879.07	222.52
875.05	221.50
876.14	216.52
875.73	212.69
869.91	210.24
868.15	211.49
868.41	217.02
868.61	213.07
865.96	215.16
