Object Tracking Data File Wed, Jan 15, 2020 10:32 AM
X (pixels)  	Y (pixels)  
1132.85	568.55
1131.55	569.74
1130.20	574.41
1129.95	574.80
1129.78	575.52
1137.53	576.60
1132.19	581.33
1130.93	579.87
1123.45	582.29
1117.28	587.05
1115.91	585.61
1114.60	579.41
1115.10	580.68
1112.59	576.55
1110.50	576.73
1111.59	569.70
1117.73	571.89
1115.44	574.29
1114.93	575.34
1114.95	574.98
1111.93	580.57
1108.95	584.03
1111.00	586.55
1108.87	583.41
1104.09	583.86
1097.81	574.16
1093.99	566.06
1091.67	560.86
1091.63	562.45
1090.00	562.78
1093.47	564.60
1084.99	562.86
1083.47	565.55
1077.91	563.11
1076.25	570.56
1074.61	572.30
1074.67	565.60
1072.81	561.80
1073.00	564.36
1075.15	562.97
1076.43	563.09
1076.71	566.38
1075.30	564.16
1067.56	566.57
1063.32	558.23
1065.45	552.03
1057.27	548.46
1060.04	546.24
1063.01	547.40
1064.03	549.68
1060.50	547.50
1054.23	547.44
1047.11	543.91
1046.91	549.39
1047.41	556.08
1040.25	556.30
1040.62	547.98
1043.40	540.02
1042.60	537.86
1042.56	535.42
1043.25	544.35
1039.76	543.45
1036.58	540.87
1032.75	539.49
1030.99	539.70
1031.51	534.39
1031.23	541.25
1031.70	538.57
1025.55	535.66
1024.45	538.01
1027.60	532.35
1025.59	535.70
1020.53	527.66
1023.34	529.95
1028.10	528.52
1030.13	527.44
1029.46	527.18
1031.00	533.54
1032.41	527.47
1029.26	528.00
1028.01	529.60
1027.58	523.32
1025.95	516.17
1026.51	520.29
1026.13	518.04
1022.44	524.63
1020.44	518.21
1017.37	519.59
1012.81	512.00
1009.20	513.87
1007.30	528.99
1001.69	519.53
983.64	492.60
990.35	488.65
979.66	520.49
972.27	523.77
970.86	529.65
970.28	527.48
962.53	514.92
957.40	511.32
951.55	519.88
943.44	522.21
942.91	523.54
934.90	517.32
929.14	523.09
929.88	520.36
923.64	520.62
927.28	519.76
921.89	521.97
920.36	522.36
913.74	528.67
908.92	530.96
900.23	533.33
901.98	529.53
900.28	533.28
901.41	528.78
900.63	523.42
895.88	527.60
899.00	529.78
894.41	532.91
