Object Tracking Data File Wed, Jan 15, 2020 10:34 AM
X (pixels)  	Y (pixels)  
439.87	485.29
440.72	488.03
445.11	486.26
439.88	491.44
441.80	490.38
441.21	494.06
438.51	498.11
440.19	495.52
434.97	491.70
435.49	495.65
435.12	495.82
433.26	492.41
436.99	496.13
434.08	495.90
426.26	498.15
428.28	498.86
425.47	501.42
418.45	506.55
416.25	505.78
418.44	505.80
420.34	509.02
415.23	514.70
419.68	517.31
420.40	517.67
414.25	518.99
408.36	518.49
405.53	518.34
402.10	522.36
399.56	523.01
398.13	526.10
391.33	525.72
388.42	526.71
387.78	518.58
385.66	521.72
382.93	522.87
385.21	519.58
379.75	516.38
378.32	514.17
374.13	512.97
366.99	514.09
366.73	509.79
369.26	509.27
363.60	512.76
353.37	510.80
358.23	512.71
356.65	514.95
364.47	513.56
356.19	517.18
352.45	514.13
347.16	513.62
344.05	516.52
345.58	519.89
342.69	518.28
336.91	520.73
337.59	519.90
337.64	520.85
336.29	516.81
333.38	520.24
332.36	513.96
329.28	513.11
323.03	513.10
319.84	512.43
316.51	514.57
321.43	511.68
325.44	510.01
316.51	510.95
309.79	510.08
303.17	503.74
299.81	498.09
362.26	433.34
329.67	415.23
299.15	390.92
281.26	377.72
271.11	451.91
270.00	476.78
247.02	406.81
261.57	461.00
261.97	463.45
258.75	461.19
251.18	469.81
243.00	468.75
241.41	471.26
236.21	467.99
228.49	463.17
216.19	459.05
212.93	462.29
208.19	455.15
194.11	450.90
186.79	442.56
200.94	368.96
178.06	374.32
173.44	363.87
170.89	356.23
126.85	386.13
117.91	388.42
115.05	387.81
108.86	388.00
97.94	384.39
94.84	376.39
91.37	380.44
80.41	380.85
62.42	373.55
59.84	370.95
59.19	372.82
56.12	368.57
41.49	357.71
36.84	350.05
60.40	307.35
10.51	279.98
22.99	328.05
19.01	324.76
14.60	310.83
8.93	312.18
42.90	233.61
74.46	253.37
31.96	218.77
20.85	275.82
7.83	272.76
7.18	247.73
0.00	0.00
