Object Tracking Data File Wed, Jan 15, 2020 10:33 AM
X (pixels)  	Y (pixels)  
859.13	258.73
858.84	259.89
856.67	257.59
857.23	260.80
860.17	261.75
864.12	263.04
862.33	266.70
865.42	266.16
865.92	265.80
865.76	268.05
865.72	267.95
866.94	263.81
864.96	262.76
865.66	264.29
866.14	265.42
865.53	267.56
862.83	267.61
859.77	269.11
863.07	266.72
862.00	268.35
866.09	269.56
862.51	267.32
864.47	266.60
864.73	267.28
863.77	268.80
862.53	268.37
863.70	264.92
860.47	262.61
862.64	265.61
865.62	265.49
866.19	266.58
864.26	267.15
863.05	265.83
860.50	258.49
861.43	256.36
862.08	257.04
863.64	257.08
859.22	251.89
857.82	250.99
860.28	248.63
861.58	248.00
864.02	248.16
862.02	247.71
863.74	246.30
864.10	246.70
862.13	248.91
862.51	249.97
861.32	249.67
861.55	249.44
862.82	246.88
862.90	247.81
863.49	248.65
862.20	246.59
861.86	244.77
865.36	244.33
866.02	241.44
867.19	240.38
867.13	242.65
867.09	240.54
866.83	241.31
865.63	241.08
866.77	239.96
867.19	239.48
867.79	238.75
866.53	242.02
867.96	242.14
866.69	242.69
868.62	240.75
867.93	242.22
866.71	242.59
865.25	242.99
867.49	242.14
866.52	242.05
867.75	241.96
868.83	242.47
866.47	241.99
866.16	243.51
865.38	242.76
928.40	197.00
878.77	240.55
858.34	186.32
855.77	185.02
777.74	173.53
837.13	235.59
862.11	249.36
860.27	248.20
860.43	244.00
862.44	244.93
864.11	246.08
865.58	234.91
865.90	235.77
868.04	238.16
866.77	238.61
869.97	238.50
870.39	240.30
866.49	240.71
864.18	243.49
866.18	242.52
867.32	240.14
868.88	240.80
870.36	241.87
871.37	239.92
871.06	239.37
870.06	239.94
872.61	241.87
875.16	239.06
871.88	240.22
871.01	241.64
867.01	243.66
866.87	246.23
868.45	245.88
868.32	238.77
866.87	240.13
869.68	243.22
869.24	243.62
869.70	241.50
939.96	185.09
1002.44	139.24
985.94	136.01
962.65	94.11
