Object Tracking Data File Wed, Jan 15, 2020 10:35 AM
X (pixels)  	Y (pixels)  
705.31	406.04
689.30	400.84
663.13	391.05
643.38	374.89
626.19	362.49
605.50	355.77
591.75	349.33
581.76	342.90
573.36	341.93
566.02	340.09
558.34	338.20
548.08	336.02
544.69	335.30
535.90	335.25
534.94	334.24
533.26	335.58
528.44	335.08
524.28	333.23
520.62	329.19
514.53	324.15
510.39	321.57
502.73	318.54
502.80	318.59
551.86	267.39
553.09	260.06
552.87	260.03
554.57	259.51
554.74	259.44
555.40	259.34
556.19	259.71
556.73	259.67
557.04	259.60
556.05	259.44
557.20	259.95
556.50	259.80
557.06	259.45
557.26	259.58
557.84	259.74
556.73	259.28
557.01	259.60
556.68	259.30
557.02	259.77
557.02	259.39
556.88	260.23
556.02	259.10
556.87	259.05
557.29	260.06
557.25	259.46
556.25	259.29
556.59	259.55
557.59	259.59
557.86	259.92
559.02	260.15
558.09	259.78
558.13	259.89
558.46	260.14
558.03	259.65
559.01	259.78
558.24	259.68
558.32	260.24
558.31	259.86
557.75	259.71
558.62	260.09
558.76	260.06
558.92	259.96
558.93	259.70
636.79	199.79
675.22	135.34
640.24	133.36
591.75	127.57
559.41	122.39
514.13	133.14
453.98	135.91
390.58	119.02
326.62	110.87
266.37	103.08
230.03	112.95
189.04	109.61
137.31	96.40
96.86	84.39
125.00	13.00
125.00	13.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
125.00	13.00
125.00	13.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
