Object Tracking Data File Wed, Jan 15, 2020 10:36 AM
X (pixels)  	Y (pixels)  
194.91	141.38
218.56	163.67
233.71	174.85
266.41	203.76
282.84	221.87
301.44	236.58
336.30	189.60
339.38	189.31
415.95	255.66
392.58	314.42
424.58	352.67
449.13	384.92
505.68	432.30
556.64	473.03
603.03	505.10
593.57	437.03
646.45	498.99
642.66	489.41
642.75	492.50
642.51	494.28
642.58	490.08
642.04	527.11
642.77	494.94
642.67	491.39
642.95	489.71
643.12	488.66
657.21	540.23
641.37	494.84
641.79	495.17
656.54	543.18
643.06	484.31
656.58	539.46
656.73	546.39
657.97	548.48
656.84	546.53
642.45	493.90
642.20	488.91
642.38	493.20
656.88	542.64
657.80	547.98
656.72	546.70
656.82	546.84
656.70	546.83
658.14	547.94
657.51	547.42
674.75	489.26
732.57	502.35
669.00	547.51
656.83	546.14
657.28	546.14
656.67	545.86
657.13	546.94
669.12	544.12
641.35	492.79
642.12	488.78
631.38	508.69
641.84	494.14
656.62	543.65
656.80	545.95
656.84	545.98
656.83	545.84
656.54	544.72
656.20	545.63
656.81	545.32
657.04	545.91
656.92	545.66
657.11	545.76
657.06	546.07
657.38	546.06
662.29	553.24
656.55	545.55
640.14	493.02
657.06	543.12
657.12	545.69
657.76	545.98
657.65	545.21
658.09	544.36
658.71	544.01
658.98	544.03
658.62	543.41
641.06	491.28
658.95	542.46
658.74	542.80
659.16	542.78
659.35	542.19
648.18	487.46
641.50	489.75
658.95	541.62
659.15	542.12
657.46	541.21
633.95	536.91
642.54	492.70
642.28	489.30
659.32	541.53
659.20	541.67
658.93	541.48
659.25	541.07
659.43	541.26
641.81	482.12
660.46	485.26
671.95	493.47
610.49	452.73
647.41	513.36
661.38	541.14
660.37	541.60
659.99	540.25
660.37	540.59
662.30	541.19
662.87	540.97
662.36	541.21
661.63	539.87
661.61	540.13
660.53	538.32
662.67	538.97
662.00	538.77
663.04	539.52
662.02	539.98
661.66	539.95
661.58	540.41
661.69	540.98
