Object Tracking Data File Wed, Jan 15, 2020 10:37 AM
X (pixels)  	Y (pixels)  
408.03	399.74
403.86	347.35
409.18	397.50
406.24	347.31
405.29	346.96
410.13	397.64
407.54	351.84
413.51	401.42
414.54	407.36
414.39	353.60
412.79	350.43
421.42	394.15
426.36	399.65
423.33	400.25
418.93	408.40
421.18	411.59
414.70	353.31
421.55	397.32
416.52	353.58
424.95	397.39
426.56	404.45
422.80	351.45
429.19	394.38
436.87	400.76
436.51	402.61
429.98	404.42
433.49	400.12
430.06	397.70
430.24	393.08
428.68	396.34
427.50	393.55
433.25	392.10
431.90	393.25
425.55	396.46
426.66	394.37
429.14	396.23
429.65	394.05
433.07	396.08
433.10	393.52
434.13	391.27
431.34	383.55
424.27	380.64
423.83	382.62
422.49	386.06
418.01	390.24
410.59	388.90
413.46	384.94
407.60	386.45
408.17	386.68
397.60	336.74
397.35	388.27
398.04	393.80
400.06	393.16
401.61	394.89
401.61	393.53
401.23	394.27
401.59	395.47
402.07	396.23
405.56	395.22
407.30	393.79
399.47	390.87
399.99	337.61
401.03	336.46
395.88	335.79
400.28	389.73
402.26	396.17
403.17	399.18
406.05	399.44
405.94	401.91
407.92	399.44
409.28	398.88
402.26	339.43
400.47	337.95
402.17	339.62
407.96	381.85
417.08	389.29
418.87	393.10
415.91	390.15
406.91	340.75
406.83	336.36
414.53	378.86
418.08	380.98
422.83	384.95
424.22	387.14
426.80	387.05
426.52	392.97
425.82	400.25
430.20	401.53
429.92	401.95
430.49	407.02
433.35	415.48
439.20	427.13
442.04	427.58
449.72	427.88
461.68	431.74
465.91	437.05
471.04	442.32
451.25	407.54
419.49	400.12
437.36	456.08
472.06	493.69
509.92	506.91
504.87	485.40
505.25	502.85
523.52	575.38
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
