Object Tracking Data File Wed, Jan 15, 2020 11:00 AM
X (pixels)  	Y (pixels)  
659.41	565.74
661.60	567.38
659.97	567.82
661.72	566.15
661.19	567.91
662.85	567.23
661.78	567.38
663.63	567.37
662.49	566.42
662.82	566.47
663.79	567.34
664.16	566.51
662.96	564.95
664.41	566.46
664.08	565.92
663.92	566.23
663.97	566.25
663.95	565.20
664.69	565.09
665.00	564.00
665.09	564.07
664.11	564.11
664.50	565.73
664.26	565.27
663.53	564.87
664.60	564.62
664.12	565.12
664.51	564.74
664.43	564.00
664.42	565.20
664.79	563.89
666.44	565.11
667.01	563.14
666.52	564.30
665.13	563.87
666.98	563.74
666.40	564.53
666.24	563.54
668.59	562.98
667.86	563.12
668.30	564.33
668.78	563.92
667.60	562.30
667.71	562.27
668.12	563.37
667.52	562.91
668.73	562.37
668.97	561.97
669.58	561.39
668.57	562.51
669.01	563.17
670.05	562.19
670.13	563.40
669.14	561.84
668.80	563.15
670.33	562.55
669.97	562.99
669.47	562.07
670.68	562.04
670.45	560.86
670.53	560.51
670.34	560.64
670.46	559.48
671.00	561.14
670.84	560.08
670.75	561.06
670.18	561.86
670.58	559.56
671.74	560.87
672.30	562.73
671.15	560.16
671.74	561.03
672.04	559.61
672.49	559.75
672.43	559.94
672.20	559.34
672.61	560.20
672.11	559.71
672.27	560.33
671.86	560.37
672.31	559.65
671.42	559.15
672.14	558.39
672.88	559.75
672.44	558.17
672.59	560.29
673.33	558.52
672.19	557.80
671.17	558.64
673.04	557.34
671.60	558.19
672.14	559.48
674.10	558.92
672.78	558.73
674.27	558.74
672.51	558.54
673.06	558.23
673.81	558.55
671.42	558.29
672.33	557.10
673.75	558.30
674.26	559.23
674.08	556.94
673.80	556.89
673.31	557.19
674.21	557.43
674.69	557.58
673.69	556.70
675.30	558.08
674.92	556.14
676.85	558.61
677.03	559.85
678.78	558.92
678.38	558.98
677.76	557.92
676.05	557.00
682.46	552.85
687.16	552.94
688.46	553.92
690.09	546.96
