Object Tracking Data File Wed, Jan 15, 2020 11:15 AM
X (pixels)  	Y (pixels)  
867.63	526.55
869.52	526.20
867.68	523.42
866.20	519.84
862.50	518.53
856.64	520.36
851.01	517.73
846.32	518.99
839.61	517.89
835.90	516.93
832.37	514.98
829.80	516.80
827.72	520.22
820.30	522.18
811.30	524.31
801.84	526.02
796.69	526.83
794.79	527.81
788.63	528.31
779.24	531.06
773.19	527.67
767.23	528.64
758.31	529.97
690.26	453.32
722.48	491.03
729.44	514.74
729.78	525.42
723.55	531.30
662.73	461.92
696.12	499.58
721.40	433.09
715.93	426.87
714.87	424.16
696.82	478.40
679.44	419.67
642.81	419.56
667.18	471.21
673.35	501.29
674.13	520.68
669.07	527.87
663.77	531.86
661.13	532.74
657.40	533.13
655.37	533.55
649.12	531.10
646.68	532.00
642.83	529.83
639.06	527.74
638.92	525.36
632.04	521.46
623.76	517.84
619.96	516.49
615.12	514.85
610.63	511.55
606.98	509.55
599.27	510.89
593.74	511.92
589.00	512.06
586.78	513.59
581.13	516.33
574.86	518.62
569.04	521.12
493.73	450.21
572.16	412.48
578.02	430.62
558.45	482.35
547.13	508.51
541.41	519.35
536.73	520.44
533.65	520.17
529.66	520.32
529.25	521.85
527.19	525.41
524.24	529.70
521.11	533.99
519.18	535.71
518.51	536.93
514.55	536.10
514.37	535.97
512.15	536.81
513.33	535.85
513.01	536.31
511.04	537.16
509.60	536.77
505.67	537.21
501.33	535.73
498.96	535.10
493.86	533.65
488.77	532.25
484.81	530.58
481.13	529.85
476.32	528.88
465.62	527.73
389.30	452.32
429.17	415.90
380.04	416.37
407.19	467.54
411.51	496.22
411.36	511.89
407.69	518.81
402.14	522.31
400.38	524.50
398.80	524.48
396.51	524.50
391.87	524.65
316.87	447.60
348.42	388.50
356.54	397.00
362.58	455.52
301.78	410.91
332.54	457.43
300.40	410.14
297.30	412.75
348.40	387.27
351.64	407.07
343.15	457.33
348.88	407.52
344.10	459.85
375.85	418.44
324.07	399.90
